grupo,(Todas),,,,,,grupo,(Todas),,,,,,,,,,,,,,,,,
s7c7ap01,(Todas),,,,,,s7c7dp03b,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valores,,,,,Suma de s7c7dp03a,s7c7ap01,,,,,,,,,,,,,,,,,
cons,s7c7dp03b,Suma de s7c7dp01,Suma de s7c7dp02,Suma de s7c7dp03a,,,cons,11,12,13,14,15,21,22,31,32,33,41,42,43,51,52,61,71,Total general
233,2,43,2,4500,,,64,,,,,,,,,,,80,,,,,,,80
253,2,52,1,450,,,83,,,,,,,,,,,,,,,1000,,,1000
274,2,21,2,1500,,,87,,,,,,,,,,,,60,,,,,,60
276,2,83,7,700,,,88,,,,,,,,,,,,,,,1000,,,1000
316,2,52,2,2200,,,89,,,,,,,,,,,200,,,,,,,200
346,2,42,5,300,,,105,,,,,,,,,,,,,,,900,,,900
570,2,32,1,700,,,131,,,,,,,,,,,,150,,,,,,150
587,2,43,2,650,,,140,,,,,,,,,,,100,,,,,,,100
644,2,52,10,12000,,,157,,,,,,,,,,,200,,,,,,,200
670,2,43,4,2100,,,163,,,,,,,700,,,,250,,,,700,,,1650
672,2,11,1,6200,,,169,,,,11000,,,,,,,,,,,,,,11000
675,2,52,17,1800,,,182,,,,,,,,,,,,70,,,,,,70
783,2,63,2,3400,,,184,,,,,,,,,,,,,,,800,,,800
805,2,42,1,70,,,210,,,,10000,,,,,,,,,,,,,,10000
807,2,41,5,200,,,233,,,,,,,,,,,350,80,,,1500,,,1930
882,2,32,1,4700,,,236,9000,,,8000,9000,,,,,,,,,,700,,,26700
1222,2,14,1,9600,,,239,,,,,,,,,,,150,100,,,,,,250
1252,2,42,18,100,,,255,,,,,,,,,,,100,,,,,,,100
1269,2,31,1,3500,,,277,,,,,,,,,,,,,,,400,,,400
1334,2,41,4,600,,,335,,4000,5000,6000,6000,,,,,,,,,,,,,21000
1756,2,32,1,2000,,,340,,3000,,,,,,,,,,,,,,,,3000
1821,2,51,6,3600,,,350,,,,,,,,,,300,,,,,,,,300
2000,2,52,9,1000,,,374,,,,,,,,,,,,,,,800,,,800
2075,2,11,6,39000,,,375,,,,,,,,,,,,,,,600,,,600
2103,2,15,1,3000,,,376,,,,,,,,1000,,,,,,,,,,1000
2338,2,52,7,6800,,,386,,,,,,,,,,300,,,,,,,,300
2387,2,52,6,2000,,,387,,,,,,,,,400,,,,,,,,,400
2406,2,32,2,1600,,,391,,,,,,,,,,,,,,,900,,,900
Total general,,1129,125,114270,,,396,,,,,,,,,,,,,,,900,,,900
,,,,,,,411,,,,,,,,,,,,45,,,,,,45
,,,,,,,433,5000,,,,,,,2500,,,,,,,,,,7500
,,,,,,,450,,,,,,,,,,,,50,,,,,,50
,,,,,,,454,,,,,,,,,,,,70,,,,,,70
,,,,,,,456,,,,,,,,,,,,450,,,,,,450
,,,,,,,474,,,,,,,,1600,,,,,,,,,,1600
,,,,,,,476,,,,,,,,,,,400,,,,,,,400
,,,,,,,478,,,,,,,,,,,,90,,,,,,90
,,,,,,,495,,,,,,,,,,,,120,,,,,,120
,,,,,,,511,,,,,,,,,,,,60,,,,,,60
,,,,,,,521,,,,,,,,,,,,,,600,,,,600
,,,,,,,523,,,,,,2200,,,,600,,100,,800,,,,3700
,,,,,,,543,,,,,,,,,,1000,,,,,,,,1000
,,,,,,,562,3000,,,,,,,2500,,,,,,,,,,5500
,,,,,,,567,,,,,,,,,,1600,,,,,,,,1600
,,,,,,,576,,,,,,,,,300,,,,,,,,,300
,,,,,,,585,,,,,,,,,,,,200,,,,,,200
,,,,,,,623,,,,,,,,,,,,,100,,,,,100
,,,,,,,680,,,,,,,,,,,,,,,1200,,,1200
,,,,,,,753,,,,,,,,,,,,,,,800,,,800
,,,,,,,765,,,,,,,1000,,,,,,,,,,,1000
,,,,,,,770,,,,,,,,,,,,,,,,,100,100
,,,,,,,773,,,,,,,,,,,,70,,,,,,70
,,,,,,,787,,,,,,,,,,300,,,,,,,,300
,,,,,,,829,,,,,,,,,,,,150,,,,,,150
,,,,,,,849,,,,,,,,,,,,50,,,,,,50
,,,,,,,850,,,,,,,,,,,,,,,800,,,800
,,,,,,,863,,,,,,,,,800,,,,,,,,,800
,,,,,,,884,,,,,,,,,2300,,,,,,,,,2300
,,,,,,,893,,,,,,,,,1500,,,,,,,,,1500
,,,,,,,905,,,,,,,,,,900,,,,,,,,900
,,,,,,,912,,,,,,,,,2000,,,,,,,,,2000
,,,,,,,913,,,,,,,,,,,,50,,,,,,50
,,,,,,,921,,,,,,,,,,600,,,,,,,,600
,,,,,,,924,,,,,,,,,2000,,,,,,,,,2000
,,,,,,,930,,,,,,,,,,,80,,,,,,,80
,,,,,,,961,,,,,,,,,,,,80,,,,,,80
,,,,,,,962,,,,,,,,,,,,70,,,,,,70
,,,,,,,975,,,,,,,,,,,,,,,1000,,,1000
,,,,,,,976,,,,,,,,,,,,100,,,,,,100
,,,,,,,1000,,,,,,,,,,,,,,,1000,,,1000
,,,,,,,1052,,,,,6000,,,,,,,,,,,,,6000
,,,,,,,1154,,,,,,,,,,,,85,,,,,,85
,,,,,,,1199,,,,,7000,,,,,,,,,,,,,7000
,,,,,,,1208,,,,,,,,,,,,60,,,,,,60
,,,,,,,1243,,,,,,,,,,,,70,,,,,,70
,,,,,,,1244,,,,,,,,1800,,,400,150,,,,,,2350
,,,,,,,1247,,,,,,,,,,,,150,,,,,,150
,,,,,,,1249,,,,,,,,,,,,100,,,,,,100
,,,,,,,1250,,,,,,,,,,,,50,,,,,,50
,,,,,,,1251,,,,,,,,,,,,110,,,,,,110
,,,,,,,1254,,,,,,,,,,,,80,,,,,,80
,,,,,,,1259,,,,,12000,,,,,700,,,,,,,,12700
,,,,,,,1270,8000,,,,,,,,,,,,,,,,,8000
,,,,,,,1312,,,,,,,,,,,400,,,,,,,400
,,,,,,,1330,,,,,,,,,,,250,120,,,,,,370
,,,,,,,1337,,,,,,,,,,,,150,,,,,,150
,,,,,,,1342,,,,,,,,,,,500,150,,,,,,650
,,,,,,,1344,,,,,,,,,,2000,,,,,,,,2000
,,,,,,,1378,,,,,,,,,,,,120,,,,,,120
,,,,,,,1381,,,,,,,,,,,600,,,,,,,600
,,,,,,,1386,,,,,,,,,,,600,130,,,,,,730
,,,,,,,1398,,,,,,,,,,,600,120,,,,,,720
,,,,,,,1401,,,,,,,,,,,200,,,,,,80,280
,,,,,,,1403,,,,,,,,,,,,100,,,,,,100
,,,,,,,1405,,,,,,,,,,,,100,,,,,,100
,,,,,,,1413,,,,,,,,,,,,,,,,200,,200
,,,,,,,1438,,,,,,,,,,,,100,,,,,,100
,,,,,,,1453,,,,,,,,,,,,100,,,,,,100
,,,,,,,1468,,,,,,,,,,,600,,,,,,,600
,,,,,,,1483,,,,5200,,,,,,,,,,,,,,5200
,,,,,,,1497,,,,,4000,,,,,,,,,,,,,4000
,,,,,,,1532,,,,,,,,,800,,,,,,,,,800
,,,,,,,1534,,,,,,,,,,,,,400,,,,,400
,,,,,,,1541,,,,,,,,,,,,,,700,,,,700
,,,,,,,1545,2500,,,,,,,,,,,,,,,,,2500
,,,,,,,1555,,,,,,,,,,,,,,,350,,,350
,,,,,,,1567,6000,,,,5000,,,,,,,,,,,,,11000
,,,,,,,1571,3000,,,10000,2000,,,,,,,,,,,,,15000
,,,,,,,1576,,,,,2500,,,,,,,,,,,,,2500
,,,,,,,1649,,,,,,,,3000,,,,,,,,,,3000
,,,,,,,1699,500,,,,,,,,,,,,,,,,,500
,,,,,,,1710,,,,,3000,1500,,,,,,,,,,,,4500
,,,,,,,1807,,,,,4500,,,,,,,,,,,,,4500
,,,,,,,1809,,,,,,,,,,,,,,300,,,,300
,,,,,,,1810,,,,,,,,,,,,,,,500,,,500
,,,,,,,1815,,,,,,,,,,,,,,400,,,,400
,,,,,,,1859,,,,,7200,,,,,,,,,,,,,7200
,,,,,,,1869,2300,,,,,,,,,,,,,,,,,2300
,,,,,,,1924,,,,,,,,,,,,,,,600,,,600
,,,,,,,1932,,,,,,,,,,,,,,,550,,,550
,,,,,,,1933,8000,,,,,,,,,,,,,,,,,8000
,,,,,,,1942,,,,,5000,,,,,,,,,,,,,5000
,,,,,,,1953,,,,,,,,,,,,,,,1000,,,1000
,,,,,,,2009,,,,,,,,,,,,50,,,,,,50
,,,,,,,2028,,,,,,,,,,,,,,750,,,,750
,,,,,,,2101,4500,,,,,,,,,,,,,,,,,4500
,,,,,,,2113,,,,,,,,,,,,35,,,,,,35
,,,,,,,2176,,,,,,,,,,,300,,,,,,,300
,,,,,,,2199,,,6000,,,,,,,,,,,,,,,6000
,,,,,,,2217,5500,,,,,,,,,,,,,,,,,5500
,,,,,,,2230,,,,,,,,,,,,120,,,,,,120
,,,,,,,2262,,,,,,,,,,,,100,,,,,,100
,,,,,,,2264,,,,,,2000,500,,,,,50,,,,,,2550
,,,,,,,2338,,,,,10000,,,,,,,,,,,,,10000
,,,,,,,2352,,,,,,,,,,,,90,,,,,,90
,,,,,,,2362,,,,,,,,,,,,75,,,,,,75
,,,,,,,2389,5700,,,,8000,,,,,,,,,,,,,13700
,,,,,,,2393,,,,,,,,,,,,60,,,,,,60
,,,,,,,2394,,14000,,,,,,,,,,,,,,,,14000
,,,,,,,2398,,,,,,,,,,,,50,,,,,,50
,,,,,,,2423,,,,,,,,,,,,60,,,,,,60
,,,,,,,2462,,,,,,,,,,,,,,800,,,,800
,,,,,,,2477,,,,,,,,,,,,50,,,,,,50
,,,,,,,2488,,,,,,,,,2000,,,,,,,,,2000
,,,,,,,2489,500,,,,,,,,,,,,,,,,,500
,,,,,,,2491,3500,,,,,,,,,,,,,,,,,3500
,,,,,,,2493,,,,,,,,,,,,,,350,,,,350
,,,,,,,2497,2500,,,,,1500,,,,,,,,,,,,4000
,,,,,,,2514,3500,,,,,,,,,,,,,,,,,3500
,,,,,,,2541,,,,,3000,,,,,,,,,,,,,3000
,,,,,,,2543,,,,,2800,,,,,,,,,,,,,2800
,,,,,,,2545,,,,,3000,,,,,,,,,,,,,3000
,,,,,,,2547,,,,,6000,,,,,,,,,,,,,6000
,,,,,,,2925,,,,,,,,,450,,,,,,,,,450
,,,,,,,3243,,,,,,,,,,,,120,,,,,,120
,,,,,,,3312,1500,,,,2500,,,,,,,,,,,,,4000
,,,,,,,Total general,74500,21000,11000,50200,108500,7200,2200,12400,12550,8300,6360,5120,500,4700,18000,200,180,342910
